,语言能力,总量
160,普通话熟练************语一般,10
161,语四级****分,10
162,普通话：精通  ************广东话：精通************语,10
163,普通话、粤语、客家话,10
164,"国语,粤语",10
165,普通话，粤语。,10
166,普通话精通,10
167,语，一般,10
168,"普通话,广东话",10
169,普通话：精通  广东话：一般************语：一般,10
170,语专业八级,10
171,精通普通话,10
172,粤语,10
173,普通话：精通  广东话：一般******语：听：一般，说：良好，读：良好，写：,10
174,"普通话,粤语",10
175,语言表达能力较强,10
176,  良好,10
177,大学语4级,10
178,语言能力强,10
179,普通话：精通  ,10
180,精通,10
181,普通话：精通  广东话：一般************语：听：一般，说：不会，读,10
182,普通话：精通  广东话：一般******语：听：良好，说：一般，读：精通，写：,10
183,"普通话流利,语一般",10
184,精通国语,9
185,普通话：精通  ************语：听：良好，说：良好，读：良好，写：,9
186,普通话标准，语良好。,9
187, 良好,9
188,OK,9
189,普通话：精通  广东话：良好******语：听：精通，说：精通，读：精通，写：,9
190,普通话优秀,9
191,汉语、语,9
192,强,9
193,语言表达能力良好。,9
194,表达能力良好,9
195,国语、语,9
196,语6级,9
197,普通话流利，语良好,9
198,    良好,9
199,普通话：精通  广东话：一般******语：听：一般，说：一般，读：精通，写：,9
200,良好的沟通能力,9
201,  一般,9
202,国语，粤语，语,9
203,****,9
204,普通话：一般  广东话：不会************语：听：一般，说：一般，读,9
205,国语良好,9
206,语：读写能力一般 | 听说能力一般 ,8
207,普通话：精通  广东话：精通************语：听：不会，说：不会，读,8
208,普通话熟练。,8
209,语 四级,8
210,懂粤语,8
211,语言表达能力强。,8
212,语听说读写熟练,8
213,语言能力良好,8
214,普通话标准，语熟练,8
215,普通话二乙,8
216,普通话：精通  广东话：不会******语：听：一般，说：一般，读：精通，写：,8
217,普通话：精通  广东话：不会************,8
218,普通话************,8
219,普通话************语,8
220,普通话良好************语一般,8
221,普通话：精通  广东话：精通************语：听：一般，说：不会，读,8
222,"普通话,语",8
223,普通话，粤语，语,8
224,大学语三级,8
225,语：读写能力一般 | 听说能力一般,8
226,流利,8
227,普通话：精通  广东话：精通******语：听：一般，说：一般，读：良好，写：,8
228,语  四级,8
229,"普通话标准,语一般.",8
230,会粤语,7
231,还可以,7
232,语四级，普通话标准,7
233,   ,7
234,沟通能力强。,7
235,"普通话良好,语一般",7
236,普通话 标准,7
237,普通话：精通  广东话：一般******语：听：不会，说：不会，读：一般，写：,7
238,普通话标准，语水平良好。,7
239,普通话：良好  广东话：一般************语：听：良好，说：一般，读,7
240,普通话熟练，粤语一般,7
241,语CET4,7
242,普通话：精通  广东话：精通******语：听：不会，说：不会，读：不会，写：,7
243,普通话：一般  广东话：一般******语：听：一般，说：一般，读：一般，写：,7
244,语一般************,7
245,通过语四级,7
246,  普通话,7
247,   普通话标准,7
248,普通话、广东话,7
249,语国家三级,7
250,普通话：精通  ************广东话：不会************语,7
251,普通话：标准,7
252,  普通话标准,7
253,普通话：标准************语：一般,7
254,语能力一般。,7
255,中文，语,7
256,全国语四级,7
257,普通话：良好  广东话：不会************语：听：良好，说：一般，读,7
258,普通话，广东话,7
259,普通话流利、语一般,7
260,普通话，,7
261,普通话标准，语四级,7
262,普通话：精通  广东话：良好************语：听：一般，说：不会，读,7
263,普通话。,7
264,普通话：良好************语：一般,7
265,"语  言  能  力：  普通话流利,粤语一般 ************语水",7
266,普通话：良好,7
267,                                        ,7
268,   普通话流利,7
269,普通话标准，语水平一般。,7
270,普通话流利 语一般,7
271,普通话标准！,7
272,"语,一般",7
273,普通话：精通  广东话：不会************语：听：不会，说：不会，读,7
274,普通话：精通  广东话：良好************语：听：一般，说：良好，读,7
275,语:良好,6
276,普通话：精通  广东话：不会************语：听：一般，说：良好，读,6
277,普通话 ,6
278,普通话：精通  广东话：良好,6
279,普通话：精通  广东话：一般******语：听：一般，说：不会，读：一般，写：,6
280,国家语六级,6
281,语 熟练,6
282,普通话：精通  广东话：精通******,6
283,语  熟练,6
284,普通话：精通  广东话：精通************语：听：精通，说：良好，读,6
285,  语四级,6
286,普通话流利，语四级,6
287,大学语6级,6
288,普通话：精通 ************广东话：一般************语：,6
289,普通话标准、语一般,6
290,普通话：良好  广东话：一般******语：听：良好，说：良好，读：良好，写：,6
291,普通话：良好  广东话：一般************语：听：不会，说：不会，读,6
292,    ,6
293,外语一般,6
294,******,6
295,   语一般,6
296,具有良好的沟通能力,6
297,普通话：熟练，能准确地书写，能流利地进行听、说交流************ 语,6
298,"粤语,普通话",6
299,CET-3,6
300,全国大学语四级,6
301,日语二级,6
302,能说会道,6
303,语 ,6
304,汉语，语,6
305,文,6
306,粤语、国语、语,6
307,CET 4,6
308,外语水平一般,6
309,语专业四级,6
310,   一般,6
311,优,6
312,语水平良好。,6
313,一般。,6
314,****************************************,6
315,普通话：良好  广东话：一般******语：听：一般，说：一般，读：良好，写：,6
316,国家语4级,6
317,语言表达能力强.,6
318,语 CET-4,6
319,普通话：良好  广东话：精通************语：听：良好，说：良好，读,6
320,普通话************粤语,6
321,语四级************普通话标准,6
322,普通话，语。,6
323,   普通话,6
324,普通话：精通  广东话：良好************语：听：不会，说：不会，读,6
325,语四级 ,6
326,国语/粤语,6
327,普通话：良好  广东话：不会************语：听：一般，说：良好，读,6
328,语：CET-4,6
329,普通话：精通  ************语：听：良好，说：良好，读：精通，写：,6
330,语四级，,6
331,普通话：精通  广东话：精通******语：听：良好，说：良好，读：精通，写：,6
332,良,6
333,普通话：精通  广东话：不会******语：听：良好，说：一般，读：良好，写：,6
334,普通话：精通************语：一般,6
335,语一般，,6
336,语：读写能力良好 | 听说能力良好,6
337,普通话、粤语流利。,6
338,国语.粤语,5
339,国语，粤语。,5
340,语CET-6,5
341,语一般，普通话流利。,5
342,普通话：熟练************语：一般,5
343,语 六级,5
344,普通话标准************语良好,5
345,语：读写能力良好 | 听说能力良好 ,5
346,　　,5
347,普通话 语,5
348,语水平一般************,5
349,普通话、广东话、语,5
350,普通话：一般  广东话：一般************语：听：一般，说：一般，读,5
351, 语四级,5
352,语 一般************,5
353,普通话：精通  ************,5
354,国语、粤语、语,5
355,语，普通话,5
356,语水平四级,5
357,标准普通话，语一般,5
358,普通话流利、语一般。,5
359,普通话二级,5
360,普通话、白话,5
361,普通话：良好  广东话：良好************语：听：良好，说：良好，读,5
362,..,5
363,  ,5
364,沟通能力较强,5
365,语一般！,5
366,普通话：良好  广东话：不会******语：听：一般，说：一般，读：良好，写：,5
367,国语，语,5
368,普通话：良好  广东话：良好******语：听：一般，说：一般，读：一般，写：,5
369,普通话：一般  广东话：不会******语：听：一般，说：一般，读：一般，写：,5
370,普通话标准，语言表达能力强,5
371,普通话流利，粤语流利,5
372,普通话流利.,5
373,大学语,5
374,普通话：精通  广东话：一般******,5
375,CET-4************,5
376,语一般，普通话标准,5
377,普通话熟练，语良好。,5
378,语三级。,5
379,一般************,5
380,语三级************,5
381,普通话二甲,5
382,普通话标准  语一般,5
383,熟练普通话,5
384,语   一般,5
385,通过国家语四级考试。,5
386,普通话：良好  广东话：良好,5
387,良好 ,5
388,通过国家语四级考试,5
389,语：六级,5
390,普通话：精通  广东话：一般************语：听：良好，说：精通，读,5
391,普通话：精通 ************广东话：精通************语：,5
392,普通话/语,5
393,语，一般。,5
394,普通话流利，语良好。,5
395,语一般.,5
396,"广东话,普通话",5
397,语读写能力良好,5
398,语国家六级,5
399,通过大学语四级,5
400,语************,5
401,普通话流利，粤语一般。,5
402,语良好.,5
403,普通话：精通  ************语：听：精通，说：精通，读：精通，写：,5
404,有较强的语言表达能力,5
405,普通话标准，语三级,5
406,cet-4,5
407,普通话流利************,5
408,普通话、广东话。,5
409,标准的普通话,5
410,普通话流利、粤语流利,5
411,语 CET4,5
412,大学语四级****分,5
413,还好,5
414,语、普通话,5
415,良好************,5
416,表达能力一般,5
417,善于与人沟通,5
418,语 三级,5
419,国语流利，语一般,5
420,语一般，普通话良好,5
421,大学语四级。,5
422,粤语、普通话、语,5
423,良好!,5
424,普通话流利************语一般,5
425,普通话：精通  广东话：一般******语：听：精通，说：良好，读：良好，写：,5
426,语良好，普通话标准,4
427,  普通话流利，语一般,4
428,普通话熟练，语良好,4
429,   普通话标准，语一般。,4
430,语（一般）,4
431,汉语良好,4
432,本人性格开朗、稳重、有活力，待人热情、真诚。工作认真负责，积极主动，能吃苦耐劳。,4
433,普通话：精通  广东话：精通******语：听：良好，说：一般，读：良好，写：,4
434,文良好,4
435,"普通话标准,语水平一般",4
436,普通话标准 ,4
437,普通话水平良好,4
438,语-一般,4
439,普通话：良好 ,4
440,通过国家语四级,4
441,大学语四级************,4
442,`,4
443,    语三级,4
444,普通话流利，,4
445,语水平：一般,4
446,普通话：精通  广东话：精通************语：听：精通，说：一般，读,4
447,普通话标准 语一般,4
448,语已过四级,4
449,语四级****,4
450,语（良好）： 听说（良好），读写（良好） ************语等级： ,4
451,流利普通话,4
452,中文、文,4
453, 普通话,4
454,普通话：精通  广东话：一般******语：听：精通，说：良好，读：精通，写：,4
455,普通话熟练************语良好,4
456,粤语流利,4
457,语流利,4
458,语能力：一般,4
459,粤语，语,4
460,普通话标准，表达能力强。,4
461,"语四级,普通话标准",4
462,普通话：精通  广东话：精通******语：听：良好，说：精通，读：精通，写：,4
463,普通话良好，语四级。,4
464,普通话标准，广东话一般,4
465,语一般************普通话良好,4
466,语良好，普通话标准。,4
467,语良好************,4
468,普通话，客家话,4
469,      一般,4
470,普通话流利，沟通能力强,4
471,普通话、粤语流利，语一般。,4
472,精通普通话和粤语,4
473,语四级，普通话二级甲等,4
474,文水平一般,4
475,粤语，国语,4
476,普通话，语一般,4
477,较强,4
478,普通话：精通  广东话：一般************语：听：一般，说：精通，读,4
479,有较强的沟通能力。,4
480,Passed Band Four of CET (College English,4
481,粤语，国语。,4
482,普通话 良好,4
483,普通话、粤语熟练,4
484,四级,4
485,普通话流利、语三级,4
486,普通话标准，沟通能力强。,4
487,语：三级,4
488,普通话：精通,4
489,  普通话流利,4
490,语言沟通能力强,4
491,   良好,4
492, 语一般,4
493,汉语普通话,4
494,语（熟练）： 听说（熟练），读写（熟练） ************语等级： ,4
495,普通话标准流利。,4
496,普通话标准，文一般,4
497,"普通话熟练,语一般",4
498,语四级，普通话良好,4
499,普通话：精通  广东话：良好************语：听：良好，说：精通，读,4
500,普通话：精通 ************广东话：良好************语：,4
501,普通话，语四级,4
502,国家语三级,4
503,粤语.国语,4
504,普通话：精通  广东话：一般******语：听：不会，说：不会，读：不会，写：,4
505,粤语熟练,4
506,普通话：精通  广东话：良好******语：听：良好，说：良好，读：精通，写：,4
507,  语一般,4
508,粤语、普通话流利,4
509,语、粤语,4
510,语三级************普通话二乙,4
511,普通话：精通  ************广东话：良好************语,4
512,语四级************普通话二乙,4
513,普通话，粤语，客家话,4
514,语：读写能力良好 | 听说能力一般 ,4
515,普通话良好！,4
516,--,4
517,普通话：精通  广东话：能听************语：听：一般，说：一般，读,4
518,普通话：精通  广东话：不会************语：一般,4
519,通过CET-4,4
520,流畅,4
521,cet4,4
522,普通话标准，语四级。,4
523,普通话：良好  广东话：一般************,4
524,良好.,4
525,语水平一般************普通话标准,4
526,普通话标准，粤语一般，语一般,4
527,良好的语言沟通能力,4
528,语一般水平,4
529,普通话：良好  ************语：听：一般，说：一般，读：一般，写：,4
530,还行,4
531,粤语，普通话，语,4
532,语：读写能力一般 | 听说能力一般 ************,4
533,普通话：精通  广东话：良好************语：听：精通，说：良好，读,3
534,普通话：标准************语：良好,3
535,普通话：良好  广东话：不会******语：听：精通，说：精通，读：精通，写：,3
536,普通话 广东话,3
537,普通话 粤语 ,3
538,"国语,粤语流利",3
539,国语良好************语一般,3
540,语：一般************普通话：标准,3
541,CET－4,3
542,语，良好,3
543,普通话流利，语熟练,3
544,计算机二级,3
545,普通话标准************语六级,3
546,普通话：精通  广东话：不会******语：听：一般，说：良好，读：精通，写：,3
547,高等学校语应用能力考试B级,3
548,语能力良好,3
549,善于沟通.,3
550,通过语四级。,3
551,普通话：精通  广东话：一般******语：听：良好，说：一般，读：一般，写：,3
552,语3级水平,3
553,普通话流利，语三级,3
554,普通话标准，,3
555,中文，语一般,3
556,粤语 普通话 ,3
557,普通话：精通  广东话：一般************语：听：熟练，说：熟练，读,3
558,通过大学语四级考试,3
559,普通话：精通  广东话：良好******语：听：不会，说：不会，读：不会，写：,3
560,普通话：良好  广东话：不会******语：听：良好，说：一般，读：良好，写：,3
561,"国语,语",3
562,普通话：精通  广东话：一般******语：听：一般，说：良好，读：精通，写：,3
563,正常,3
564,*,3
565,还可以。,3
566,汉语 语,3
567,国语  粤语,3
568,语 4级,3
569,普通话，广东话，客家话,3
570,语，粤语，普通话,3
571,良好的语言表达能力,3
572,普通话/粤语,3
573,语四级  ,3
574,普通话标准，沟通能力强,3
575,语听、说、读、写流利。,3
576,普通话：精通  ******广东话：精通******语：听：一般，说：一般，读,3
577,普通话：精通  广东话：精通******语：听：良好，说：一般，读：一般，写：,3
578,语言能力良好。,3
579,普通话：精通  广东话：良好******语：听：良好，说：一般，读：良好，写：,3
580,普通话.粤语.,3
581,外语语种： 语  掌握程度： 良好    ************听说能力： ,3
582,普通话，能听懂粤语,3
583,普通话，粤语流利。,3
584,    普通话标准,3
585,普通话，粤语，客家话。,3
586,良好，,3
587,普通话标准 语水平一般,3
588,  语良好,3
589,语读写能力良好，听说能力一般,3
590,中文，文,3
591,普通话：精通  ************语：一般,3
592,中文普通话,3
593,语一般************普通话流利,3
594, 语,3
595,粤语、普通话流利。,3
596,普通话：精通 ************语：听：精通，说：精通，读：精通，写：精,3
597,好************,3
598,国家大学语四级,3
599,语4级************,3
600,普通话：标准************,3
601,普通话：良好  广东话：良好******语：听：一般，说：一般，读：良好，写：,3
602,普通话流利，语水平良好。,3
603,语：良好************,3
604,大学语四级 ,3
605,普通话：良好  广东话：一般******语：听：精通，说：精通，读：精通，写：,3
606,能听懂粤语,3
607,普通话：精通  广东话：精通******语：听：一般，说：不会，读：一般，写：,3
608,普通话流利，语一般，粤语一般,3
609,粤语/普通话,3
610,语:CET-4,3
611,普通话过二级,3
612,语，汉语,3
613,普通话流利!,3
614,语国家4级,3
615,普通话：良好  广东话：良好************语：听：良好，说：一般，读,3
616,粤语、普通话流利，语一般。,3
617,语   良好,3
618,普通话，广东话，语,3
619,粤语  国语,3
620,汉语精通,3
621,CET-4：****分,3
622,语:四级,3
623,普通话：精通  广东话：精通************语：听：一般，说：良好，读,3
624,语应用能力A级,3
625,普通话流利，粤语一般，语一般,3
626,语四级，普通话流利,3
627,国语精通************语一般,3
628,外语语种： 语  掌握程度： 良好  ,3
629,语良好，普通话良好,3
630,语    良好,3
631,普通话流利；语具基本读写能力。,3
632,语六级。,3
633,普通话：良好  广东话：一般************语：听：精通，说：精通，读,3
634,国语 粤语,3
635,口齿清晰,3
636,国、粤语流利,3
637,普通话标准、语良好。,3
638,语初级,3
639,具有良好的沟通能力。,3
640,"普通话,",3
641,普通话二级甲等************语四级,3
642,语（一般）： 听说（一般），读写（一般） ************,3
643,普通话：熟练************语：一般************粤语：一般,3
644,沟通协调能力强,3
645,普通话标准、流利,3
646,普通话标准，粤语一般,3
647,一般!,3
648,普通话：良好  广东话：良好******语：听：良好，说：良好，读：良好，写：,3
649,************,3
650,语 一般 ,3
651,普通话：精通  ************语：听：一般，说：一般，读：一般，写：,3
652,语言表达能力强，普通话标准。,3
653,普通话：良好  广东话：精通******语：听：一般，说：一般，读：一般，写：,3
654,普通话：精通  广东话：不会************语：听：一般，说：不会，读,3
655,普通话：精通  广东话：一般******语：一般,3
656,普通话、粤语、,3
657,语应用能力三级,3
658,熟练普通话。,3
659,"语  言  能  力：  普通话流利,粤语一般 ************语口",3
660,语：读写能力良好 | 听说能力良好 ************,3
661,略懂语,3
662,普通话：精通  广东话：良好  语：一般,3
663,比较好,3
664,语四级，普通话二级乙等,3
665,熟悉普通话,3
666,普通话标准，语一般，粤语一般,3
667,语，粤语,3
668,普通话：精通  广东话：精通******语：听：不会，说：不会，读：一般，写：,3
669,语：6级,3
670,国语熟练,3
671,语一般，普通话熟练,3
672,白话,3
673,中文熟练,3
674,语一般!,3
675,汉语 熟练************语 一般,3
676,普通话：精通  广东话：不会************语：听：良好，说：精通，读,3
677,语一般 ,3
678,普通话及粤语,3
679,语四级（****分）,3
680,语  一般  ,3
681,普通话、粤语。,3
682,语六级水平,3
683,语良好 ,3
684,语    一般,3
685,普通话：精通  广东话：不会******语：听：良好，说：良好，读：精通，写：,3
686,    国语,3
687,普通话标准************语水平一般,3
688,普通话：熟练************粤语：熟练************语：一般,3
689,语三级，普通话标准,3
690,大学语 四级,3
691,语水平良好！,3
692,普通话.,3
693,语：读写能力良好 | 听说能力一般,3
694,普通话：良好  广东话：一般,3
695,语言能力一般。,3
696,"语一般,普通话标准",3
697,客家话、普通话、粤语,3
698,普通话：精通  广东话：良好************,3
699,普通话流利，文一般,3
700,普通话、客家话,3
701,普通话，广东话熟练,3
702,普通话：熟练,3
703,普通话：精通  广东话：不会******语：听：不会，说：不会，读：不会，写：,3
704,普通话较好,3
705,语级别： 四级 ,3
706,广东话，普通话。,3
707,有良好的沟通能力。,3
708,熟悉粤语,3
709,CET-4************普通话标准,3
710,普通话较好。,3
711,……,3
712,普通话：精通  广东话：不会************语：听：熟练，说：熟练，读,3
713,    语良好,3
714,表达流利,3
715, 语三级,3
716,良好的沟通协调能力,3
717,口头表达能力强,3
718,普通话，语一般。,3
719,"语  言  能  力：  普通话流利,粤语流利 ************语口",3
720,语四级、普通话二乙,3
721,语，日语,3
722,普通话：精通  ************广东话：一般************ ,3
723,普通话标准，粤语流利。,3
724,、,3
725,语四级 普通话标准,3
726,"粤语,普通话.",3
727,普通话：良好  ************语：听：一般，说：一般，读：良好，写：,3
728,普通话：精通  ************广东话：一般************,3
729,语 普通话,3
730,"语,汉语",3
731,    普通话,3
732,表达流畅,3
733,大学语六级************普通话二级甲等,3
734,普通话标准，语三级。,3
735,普通话良好，粤语一般,3
736,语过三级,3
737,语言组织能力强,3
738,语过国家四级,3
739,"普通话,广东话.",3
740,普通话：精通  广东话：一般******语：听：一般，说：不会，读：不会，写：,3
741,汉语流利,3
742,普通话/粤语流利,3
743,普通话标准************广东话流利,3
744,国语，语一般,3
745,语：CET4,3
746,普通话 粤语,3
747,普通话 良好************语   一般,3
748,国语熟练，语一般。,3
749,语  言  能  力：  普通话流利************语水平：  CET,3
750,粤语，普通话，客家话,3
751,普通话流利，粤语能听，语一般。,3
752,语通过四级,3
753,普通话  标准************语    一般,3
754,普通话一般，语一般,3
755,普通,3
756,普通话，白话。,3
757,一,3
758,普通话：精通  广东话：熟练************语：听：一般，说：一般，读,3
759,  大学语四级,3
760,国语精通,3
761,普通话:熟练,3
762,普通话标准，语水平良好,3
763,语一般，普通话标准。,3
764,语一般************普通话熟练,3
765,语水平一般.,3
766,大学语考试四级,3
767,语水平： 一般 ,3
768,有良好的语言沟通能力,3
769,语应用能力B级,3
770,语良好，普通话流利,3
771,粤语，国语，,3
772,粤语、客家话、普通话,3
773,语四级，普通话标准。,3
774,善于与人交际,3
775,普通话、粤语流利，语一般,3
776,语听说读写能力良好。,3
777,善与沟通！普通话标准！,3
778,普通话：良好  广东话：不会************语：听：精通，说：精通，读,3
779,公共语三级,3
780,普通话良好、语一般,3
781,精通国语，粤语,3
782,良好的语听说读写能力。,3
783,较强的语言沟通能力,2
784,广东话,2
785,大学语四级 ****分,2
786,普通话：精通  广东话：良好******,2
787,普通话：熟练************语：CET-4,2
788,语读写良好。,2
789,   *************************************,2
790,只会国语,2
791,普通话。广东话,2
792,。。。,2
793,一般 ,2
794,"普通话流利,粤语一般 ************语水平：  CET-4 ***",2
795,普通话熟练流利,2
796,标准的普通话，,2
797,普通话：精通  广东话：能听************语：听：良好，说：良好，读,2
798,文4级,2
799,"普通话,白话",2
800,白话，普通话,2
801,具有较好的沟通能力,2
802,语CET-4************,2
803,普通话  标准,2
804,国语、粤语、,2
805,国语流利，语一般。,2
806,精通粤语，普通话,2
807,粤语，普通话，语。,2
808,普通话：良好  语：一般,2
809,"普通话流利,语良好",2
810,语过了四级,2
811,普通话熟练，文一般。,2
812,文六级,2
813,普通话：良好  广东话：不会******语：听：一般，说：良好，读：良好，写：,2
814,国家计算机二级,2
815,语专业八级************普通话二级甲等,2
816,国语、粤语。,2
817,标准的普通话！,2
818,语口语流利,2
819,普通话流利、粤语熟练、语一般,2
820,粤语熟练 ,2
821,具备基本的语听说读写能力。,2
822,语CET四级,2
823,普通话熟练************粤语良好************语一般***,2
824,语通过国家四级,2
825,国语 ,2
826,国语 粤语 语 ,2
827,普通话良好************语水平一般,2
828,语读写熟练,2
829,普通话2级,2
830,普通话：精通  广东话：良好******语：听：一般，说：良好，读：良好，写：,2
831,语等级：大学语四级,2
832,广东话，国语。,2
833,    普通话、语,2
834,"普通话标准,沟通能力强",2
835,善于交流,2
836,普通话优良，语一般。,2
837,语三级************普通话标准,2
838,语言表达流利,2
839,"语  言  能  力：  普通话流利,粤语一般 ******第一外语：  语",2
840,有一定的文基础,2
841,语听说读写熟练。,2
842,普通话：精通 广东话：一般************语：听：一般，说：一般，读：,2
843,语通过CET-6,2
844,大学语六级水平,2
845,语水平：国家六级,2
846,普通话标准，语言沟通能力强。,2
847,普通话、粤话流利。,2
848,普通话：精通  广东话：不会******语：听：精通，说：良好，读：精通，写：,2
849,普通话：良好  广东话：不会************语：四级,2
850,优良,2
851,语一般，粤语熟练。,2
852,普通话流利，粤语一般，语一般。,2
853,有良好的语言表达能力,2
854,语通过国家六级,2
855,普通话：精通  广东话：一般************语：听：一般，说：一般，,2
856,     一般,2
857,   语四级,2
858,  语,2
859,普通话：精通  ******,2
860,普通话二甲************语四级,2
861,语：4级,2
862,    语水平良好。,2
863,普通话、粤语良好,2
864,cet 4,2
865,大学语四级（****分）,2
866,普通话：良好************语：听：一般，说：一般，读：一般，写：一般,2
867,普通话标准．,2
868,语四级************普通话熟练,2
869,普通话、广东话、,2
870,粤语和普通话,2
871,语CET-3,2
872,"表达能力强,",2
873,语四级，普通话熟练,2
874,粤语 普通话,2
875,流利的粤语、普通话、潮汕话。,2
876,具有良好的语听、说、读、写能力。,2
877,普通话、日语,2
878,语水平一般，普通话标准,2
879,普通话，广东话，客家话。,2
880,语：听：精通，说：精通，读：精通，写：精通，等级：四级,2
